datetime,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,sub_metering_4
2006-12-17,2.3544862,0.15694861,240.08702,9.999028,2033.0,4187.0,13341.0,36946.668
2006-12-18,1.5304347,0.11235555,241.23169,6.4216666,1063.0,2621.0,14018.0,19028.434
2006-12-19,1.1570792,0.10482083,241.99931,4.9263887,839.0,7602.0,6197.0,13131.9
2006-12-20,1.5456583,0.111804165,242.30806,6.467361,0.0,2648.0,14063.0,20384.8
2006-12-21,1.1924388,0.10011528,241.04228,5.0281944,1765.0,2623.0,10421.0,13809.533
2006-12-22,1.6259291,0.12979583,241.18456,6.8729167,3151.0,350.0,11131.0,24390.3
2006-12-23,3.3148513,0.15379861,240.13608,14.028055,2669.0,425.0,14726.0,61736.434
2006-12-24,1.7708417,0.104097225,241.68744,7.6404166,1703.0,5082.0,6891.0,28824.2
2006-12-25,1.9049444,0.16686112,243.39993,7.9515276,6620.0,1962.0,5795.0,31341.666
2006-12-26,2.7320209,0.11465417,241.62544,11.347917,1086.0,2533.0,14979.0,46970.5
2006-12-27,1.0616388,0.1242375,243.76736,4.5175,0.0,314.0,6976.0,18189.334
2006-12-28,1.4393319,0.14505278,243.26833,6.08625,2207.0,4419.0,9176.0,18741.967
2006-12-29,2.204439,0.13638473,240.8713,9.271389,1252.0,5162.0,11329.0,35163.535
2006-12-30,1.9456514,0.21719167,240.53633,8.317083,3148.0,7929.0,12516.0,23102.633
2006-12-31,2.426525,0.10475834,239.89658,10.199583,0.0,347.0,6502.0,51387.6
2007-01-01,1.9090306,0.102893054,240.12898,7.9169445,0.0,352.0,5880.0,39584.734
2007-01-02,0.8814139,0.13218194,241.94377,3.714028,0.0,348.0,6562.0,14243.934
2007-01-03,0.70420414,0.13661666,243.55708,3.0140278,0.0,344.0,4765.0,11791.9
2007-01-04,2.2634807,0.1404875,239.7503,9.478194,1051.0,7597.0,10896.0,34779.535
2007-01-05,1.8842806,0.12024584,240.49576,7.885139,1483.0,379.0,7602.0,35758.734
2007-01-06,1.0474848,0.13346389,239.67305,4.543889,1336.0,402.0,5678.0,17723.633
2007-01-07,1.6997361,0.17088473,240.90248,7.282639,1987.0,8177.0,12810.0,17819.666
2007-01-08,1.5565,0.14414445,239.57695,6.5516667,0.0,467.0,17547.0,19342.0
2007-01-09,1.2979542,0.14392222,240.48752,5.521111,1688.0,4267.0,9790.0,15405.9
2007-01-10,1.4963889,0.15864722,241.02745,6.3577776,771.0,4456.0,11012.0,19674.334
2007-01-11,1.5661069,0.15973611,241.15569,6.6583333,1378.0,2170.0,12415.0,21623.566
2007-01-12,1.0147889,0.13829167,241.53821,4.3091664,0.0,439.0,8276.0,15639.934
2007-01-13,2.2130654,0.2019,239.28362,9.453055,7806.0,2975.0,11341.0,30991.566
2007-01-14,2.0909986,0.15793888,238.81801,8.971666,1777.0,4215.0,12991.0,31200.967
2007-01-15,1.4921376,0.12143055,241.2409,6.2615275,1099.0,2239.0,15163.0,17310.3
2007-01-16,1.1711138,0.12876944,241.94476,4.975972,2063.0,644.0,6583.0,18816.732
2007-01-17,1.9775611,0.1394111,241.00525,8.283889,3500.0,5737.0,16064.0,22160.467
2007-01-18,1.2649041,0.12341111,240.8936,5.3425,0.0,336.0,13491.0,16530.7
2007-01-19,1.0280833,0.118091665,240.16095,4.37625,2103.0,330.0,7172.0,15069.0
2007-01-20,2.1762028,0.16552916,238.86748,9.348056,4324.0,5222.0,11440.0,31242.867
2007-01-21,2.3661542,0.1595389,238.96812,10.190695,10346.0,5567.0,11599.0,29275.7
2007-01-22,1.5142319,0.1171125,241.60313,6.355278,1054.0,2983.0,11361.0,20943.566
2007-01-23,1.2344723,0.09602778,242.76256,5.2608333,0.0,1064.0,5061.0,23502.334
2007-01-24,2.0748987,0.12365278,241.45769,8.733611,3464.0,2480.0,11744.0,32109.566
2007-01-25,1.1085722,0.10011111,243.42436,4.6293054,1158.0,262.0,11239.0,13946.733
2007-01-26,1.1235917,0.0992375,242.77179,4.721389,1163.0,261.0,8238.0,17304.2
2007-01-27,1.4194944,0.102945834,241.61658,5.949861,1170.0,3896.0,12374.0,16627.867
